Line 1: 1790,1457 -> OK
Line 269: 80,440 -> OK
Line 270: 970,528 -> OK
Line 271: 1594,1469 -> OK
Line 272: 92,483 -> OK
Line 273: 1772,670 -> OK
Line 274: 1814,1121 -> OK
Line 275: 108,532 -> OK
Line 276: 62,1453 -> OK
Line 277: 1812,1187 -> OK
Line 278: 1778,1127 -> OK
Line 279: 1540,1383 -> OK
Line 280: 1252,1296 -> OK
Line 281: 1782,1461 -> OK
Line 282: 1800,945 -> OK
Line 283: 1788,1435 -> OK
Line 284: 108,1462 -> OK
Line 285: 1814,1125 -> OK
Line 286: 92,427 -> OK
Line 287: 1594,1433 -> OK
Line 288: 1814,1120 -> OK
Line 289: 96,491 -> OK
Line 290: 1784,1292 -> OK
Line 291: 1024,1097 -> OK
Line 292: 1812,845 -> OK
Line 293: 1814,552 -> OK
Line 294: 1776,1375 -> OK
Line 295: 286,423 -> OK
Line 296: 286,785 -> OK
Line 297: 84,528 -> OK
Line 298: 1814,408 -> OK
Line 299: 1794,417 -> OK
Line 300: 1806,1179 -> OK
Line 301: 628,536 -> OK
Line 302: 1540,1298 -> OK
Line 303: 568,532 -> OK
Line 304: 1252,1008 -> OK
Line 305: 514,441 -> OK
Line 306: 1594,1107 -> OK
Line 307: 1198,1041 -> OK
Line 308: 568,1470 -> OK
Line 309: 1790,1097 -> OK
Line 310: 1366,1439 -> OK
Line 311: 1312,1175 -> OK
Line 312: 1802,1175 -> OK
Line 313: 1800,1275 -> OK
Line 314: 1788,1439 -> OK
Line 315: 80,443 -> OK
Line 316: 970,934 -> OK
Line 317: 514,556 -> OK
Line 318: 68,407 -> OK
Line 319: 68,431 -> OK
Line 320: 682,483 -> OK
Line 321: 568,829 -> OK
Line 322: 1782,813 -> OK
Line 323: 628,1283 -> OK
Line 324: 1800,1183 -> OK
Line 325: 86,829 -> OK
Line 326: 62,411 -> OK
Line 327: 1806,1451 -> OK
Line 328: 1024,930 -> OK
Line 329: 1806,1449 -> OK
Line 330: 1198,1236 -> OK
Line 331: 1802,1270 -> OK
Line 332: 1802,1379 -> OK
Line 333: 84,540 -> OK
Line 334: 1772,1449 -> OK
Line 335: 1790,1124 -> OK
Line 336: 856,1279 -> OK
Line 337: 1788,941 -> OK
Line 338: 1252,845 -> OK
Line 339: 1312,1065 -> OK
Line 340: 1800,1469 -> OK
Line 341: 98,1155 -> OK
Line 342: 1794,894 -> OK
Line 343: 1806,1244 -> OK
Line 344: 1198,1108 -> OK
Line 345: 628,670 -> OK
Line 346: 1776,1286 -> OK
Line 347: 80,771 -> OK
Line 348: 1802,556 -> OK
Line 349: 86,415 -> OK
Line 350: 1312,1282 -> OK
Line 351: 86,425 -> OK
Line 352: 1812,1447 -> OK
Line 353: 1312,654 -> OK
Line 354: 682,591 -> OK
Line 355: 108,942 -> OK
Line 356: 1540,1123 -> OK
Line 357: 1784,1267 -> OK
Line 358: 96,615 -> OK
Line 359: 1252,1399 -> OK
Line 360: 96,1443 -> OK
Line 361: 108,1295 -> OK
Line 362: 1806,1268 -> OK
Line 363: 84,584 -> OK
Line 364: 1772,1288 -> OK
Line 365: 970,650 -> OK
Line 366: 970,1004 -> OK
Line 367: 514,949 -> OK
Line 368: 628,761 -> OK
Line 369: 66,433 -> OK
Line 370: 1800,1443 -> OK
Line 371: 86,616 -> OK
Line 372: 68,596 -> OK
Line 373: 1794,1434 -> OK
Line 374: 92,600 -> OK
Line 375: 1312,1338 -> OK
Line 376: 1252,437 -> OK
Line 377: 910,614 -> OK
Line 378: 1818,1399 -> OK
Line 379: 1812,948 -> OK
Line 380: 72,598 -> OK
Line 381: 1788,1435 -> OK
Line 382: 1802,413 -> OK
Line 383: 1772,699 -> OK
Line 384: 80,425 -> OK
Line 385: 1818,996 -> OK
Line 386: 1540,1123 -> OK
Line 387: 68,767 -> OK
Line 388: 1818,1391 -> OK
Line 389: 1784,956 -> OK
Line 390: 1794,957 -> OK
Line 391: 68,634 -> OK
Line 392: 1790,582 -> OK
Line 393: 970,1037 -> OK
Line 394: 514,578 -> OK
Line 395: 1024,1093 -> OK
Line 396: 1784,1338 -> OK
Line 397: 568,638 -> OK
Line 398: 96,691 -> OK
Line 399: 856,592 -> OK
Line 400: 84,578 -> OK
Line 401: 1198,1291 -> OK
Line 402: 340,463 -> OK
Line 403: 910,902 -> OK
Line 404: 1778,1092 -> OK
Line 405: 1198,952 -> OK
Line 406: 1812,1120 -> OK
Line 407: 92,499 -> OK
Line 408: 108,431 -> OK
Line 409: 1778,1109 -> OK
Line 410: 1024,1097 -> OK
Line 411: 66,433 -> OK
Line 412: 1818,1300 -> OK
Line 413: 1806,1275 -> OK
Line 414: 66,425 -> OK
Line 415: 1806,1439 -> OK
Line 416: 92,1103 -> OK
Line 417: 1366,615 -> OK
Line 418: 1778,1004 -> OK
Line 419: 1812,1445 -> OK
Line 420: 286,424 -> OK
Line 421: 1802,1342 -> OK
Line 422: 84,783 -> OK
Line 423: 1796,1433 -> OK
Line 424: 72,765 -> OK
Line 425: 1796,719 -> OK
Line 426: 910,936 -> OK
Line 427: 72,1057 -> OK
Line 428: 84,894 -> OK
Line 429: 1540,1266 -> OK
Line 430: 1778,1244 -> OK
Line 431: 1788,596 -> OK
Line 432: 1778,1183 -> OK
Line 433: 1778,1280 -> OK
Line 434: 1772,1454 -> OK
Line 435: 62,548 -> OK
Line 436: 1540,1383 -> OK
Line 437: 1794,612 -> OK
Line 438: 1784,1326 -> OK
Line 439: 1808,1183 -> OK
Line 440: 856,1439 -> OK
Line 441: 66,1457 -> OK
Line 442: 1198,1208 -> OK
Line 443: 74,1266 -> OK
Line 444: 1806,1463 -> OK
Line 445: 1794,1442 -> OK
Line 446: 96,427 -> OK
Line 447: 1312,750 -> OK
Line 448: 856,984 -> OK
Line 449: 1790,769 -> OK
Line 450: 86,412 -> OK
Line 451: 1252,1450 -> OK
Line 452: 78,1116 -> OK
Line 453: 92,428 -> OK
Line 454: 514,1435 -> OK
Line 455: 1778,890 -> OK
Line 456: 92,428 -> OK
Line 457: 84,441 -> OK
Line 458: 1812,1282 -> OK
Line 459: 1198,769 -> OK
Line 460: 286,612 -> OK
Line 461: 910,1318 -> OK
Line 462: 90,611 -> OK
Line 463: 1252,1123 -> OK
Line 464: 86,779 -> OK
Line 465: 96,1016 -> OK
Line 466: 74,479 -> OK
Line 467: 98,1395 -> OK
Line 468: 1796,1403 -> OK
Line 469: 92,1279 -> OK
Line 470: 1800,1298 -> OK
Line 471: 96,773 -> OK
Line 472: 1312,1175 -> OK
Line 473: 1252,421 -> OK
Line 474: 1802,552 -> OK
Line 475: 568,1012 -> OK
Line 476: 1776,1437 -> OK
Line 477: 72,540 -> OK
Line 478: 1784,1125 -> OK
Line 479: 68,1127 -> OK
Line 480: 1790,984 -> OK
Line 481: 910,1274 -> OK
Line 482: 1366,1294 -> OK
Line 483: 92,1244 -> OK
Line 484: 68,1326 -> OK
Line 485: 682,813 -> OK
Line 486: 568,408 -> OK
Line 487: 970,1012 -> OK
Line 488: 1802,1292 -> OK
Line 489: 78,1292 -> OK
Line 490: 66,439 -> OK
Line 491: 80,937 -> OK
Line 492: 1802,942 -> OK
Line 493: 1782,1292 -> OK
Line 494: 66,437 -> OK
Line 495: 682,536 -> OK
Line 496: 1796,1263 -> OK
Line 497: 90,487 -> OK
Line 498: 86,444 -> OK
Line 499: 1806,1179 -> OK
Line 500: 1778,1342 -> OK
Line 501: 1198,944 -> OK
Line 502: 1784,980 -> OK
Line 503: 340,439 -> OK
Line 504: 74,424 -> OK
Line 505: 568,699 -> OK
Line 506: 1366,1455 -> OK
Line 507: 682,419 -> OK
Line 508: 1540,495 -> OK
Line 509: 96,650 -> OK
Line 510: 1808,1119 -> OK
Line 511: 80,1470 -> OK
Line 512: 86,420 -> OK
Line 513: 1776,703 -> OK
Line 514: 1782,1462 -> OK
Line 515: 1252,779 -> OK
Line 516: 1594,463 -> OK
Line 517: 96,556 -> OK
Line 518: 1790,495 -> OK
Line 519: 1782,1291 -> OK
Line 520: 1784,1228 -> OK
Line 521: 1800,1471 -> OK
Line 522: 1812,1470 -> OK
Line 523: 340,980 -> OK
Line 524: 102,528 -> OK
Line 525: 970,902 -> OK
Line 526: 1790,425 -> OK
Line 527: 74,429 -> OK
Line 528: 340,407 -> OK
Line 529: 68,608 -> OK
Line 530: 1814,1318 -> OK
Line 531: 72,603 -> OK
Line 532: 90,427 -> OK
Line 533: 1252,1433 -> OK
Line 534: 1198,1299 -> OK
Line 535: 1790,427 -> OK
Line 536: 78,429 -> OK
Line 537: 1788,495 -> OK
Line 538: 104,1240 -> OK
Line 539: 102,695 -> OK
Line 540: 1594,421 -> OK
Line 541: 78,638 -> OK
Line 542: 1540,1244 -> OK
Line 543: 286,409 -> OK
Line 544: 628,608 -> OK
Line 545: 80,413 -> OK
Line 546: 1024,467 -> OK
Line 547: 286,552 -> OK
Line 548: 1794,1093 -> OK
Line 549: 514,520 -> OK
Line 550: 90,817 -> OK
Line 551: 910,646 -> OK
Line 552: 1366,1065 -> OK
Line 553: 1800,1116 -> OK
Line 554: 1794,578 -> OK
Line 555: 92,785 -> OK
Line 556: 682,1112 -> OK
Line 557: 910,699 -> OK
Line 558: 1024,930 -> OK
Line 559: 1800,409 -> OK
Line 560: 1782,1354 -> OK
Line 561: 910,878 -> OK
Line 562: 1790,707 -> OK
Line 563: 66,536 -> OK
Line 564: 1790,1163 -> OK
Line 565: 96,753 -> OK
Line 566: 514,524 -> OK
Line 567: 84,584 -> OK
Line 568: 1366,1461 -> OK
Line 569: 568,413 -> OK
Line 570: 1808,1466 -> OK
Line 571: 78,411 -> OK
Line 572: 1366,1407 -> OK
Line 573: 1366,1163 -> OK
Line 574: 568,928 -> OK
Line 575: 1790,821 -> OK
Line 576: 1594,1435 -> OK
Line 577: 682,934 -> OK
Line 578: 514,607 -> OK
Line 579: 1806,932 -> OK
Line 580: 68,711 -> OK
Line 581: 68,471 -> OK
Line 582: 1794,1469 -> OK
Line 583: 1198,703 -> OK
Line 584: 1800,1037 -> OK
Line 585: 568,444 -> OK
Line 586: 1540,1244 -> OK
Line 587: 96,487 -> OK
Line 588: 970,777 -> OK
Line 589: 84,608 -> OK
Line 590: 1814,862 -> OK
Line 591: 1812,1450 -> OK
Line 592: 1776,1115 -> OK
Line 593: 1366,1403 -> OK
Line 594: 1802,1097 -> OK
Line 595: 1814,1120 -> OK
Line 596: 1024,1447 -> OK
Line 597: 1796,1463 -> OK
Line 598: 514,715 -> OK
Line 599: 96,1459 -> OK
Line 600: 1366,920 -> OK
Line 601: 66,751 -> OK
Line 602: 84,1322 -> OK
Line 603: 568,767 -> OK
Line 604: 1796,1463 -> OK
Line 605: 98,590 -> OK
Line 606: 1802,1045 -> OK
Line 607: 1796,1294 -> OK
Line 608: 1814,674 -> OK
Line 609: 102,431 -> OK
Line 610: 1594,932 -> OK
Line 611: 1788,1220 -> OK
Line 612: 1818,1124 -> OK
Line 613: 1818,599 -> OK
Line 614: 1790,1435 -> OK
Line 615: 62,503 -> OK
Line 616: 1782,882 -> OK
Line 617: 1540,1435 -> OK
Line 618: 1808,1434 -> OK
Line 619: 1796,1435 -> OK
Line 620: 90,761 -> OK
Line 621: 86,407 -> OK
Line 622: 104,503 -> OK
Line 623: 1784,1125 -> OK
Line 624: 856,1462 -> OK
Line 625: 1790,611 -> OK
Line 626: 1788,1262 -> OK
Line 627: 92,634 -> OK
Line 628: 1812,1407 -> OK
Line 629: 1366,1467 -> OK
Line 630: 340,437 -> OK
Line 631: 104,666 -> OK
Line 632: 568,596 -> OK
Line 633: 1594,1454 -> OK
Line 634: 1540,616 -> OK
Line 635: 78,1463 -> OK
Line 636: 910,1433 -> OK
Line 637: 1806,1469 -> OK
Line 638: 108,594 -> OK
Line 639: 1772,779 -> OK
Line 640: 910,1045 -> OK
Line 641: 910,1073 -> OK
Line 642: 78,770 -> OK
Line 643: 72,615 -> OK
Line 644: 856,592 -> OK
Line 645: 1312,1375 -> OK
Line 646: 1198,1240 -> OK
Line 647: 78,409 -> OK
Line 648: 1784,1262 -> OK
Line 649: 78,544 -> OK
Line 650: 1776,1183 -> OK
Line 651: 1594,1435 -> OK
Line 652: 1794,1395 -> OK
Line 653: 514,699 -> OK
Line 654: 970,1244 -> OK
Line 655: 74,552 -> OK
Line 656: 1198,1270 -> OK
Line 657: 1802,976 -> OK
Line 658: 80,580 -> OK
Line 659: 1784,992 -> OK
Line 660: 66,767 -> OK
Line 661: 1812,1350 -> OK
Line 662: 1198,432 -> OK
Line 663: 84,582 -> OK
Line 664: 514,594 -> OK
Line 665: 98,584 -> OK
Line 666: 1812,1350 -> OK
Line 667: 68,445 -> OK
Line 668: 628,435 -> OK
Line 669: 1800,1387 -> OK
Line 670: 62,1065 -> OK
Line 671: 1790,1115 -> OK
Line 672: 1024,1057 -> OK
Line 673: 1812,777 -> OK
Line 674: 1794,925 -> OK
Line 675: 108,408 -> OK
Line 676: 1796,1268 -> OK
Line 677: 80,436 -> OK
Line 678: 514,409 -> OK
Line 679: 84,524 -> OK
Line 680: 62,615 -> OK
Line 681: 108,417 -> OK
Line 682: 856,723 -> OK
Line 683: 80,594 -> OK
Line 684: 1540,1470 -> OK
Line 685: 90,524 -> OK
Line 686: 102,1109 -> OK
Line 687: 1806,1279 -> OK
Line 688: 68,769 -> OK
Line 689: 104,536 -> OK
Line 690: 1594,1128 -> OK
Line 691: 74,607 -> OK
Line 692: 1778,1338 -> OK
Line 693: 102,409 -> OK
Line 694: 1778,1318 -> OK
Line 695: 84,552 -> OK
Line 696: 1806,890 -> OK
Line 697: 1776,499 -> OK
Line 698: 1594,420 -> OK
Line 699: 1772,1407 -> OK
Line 700: 84,612 -> OK
Line 701: 92,1439 -> OK
Line 702: 74,767 -> OK
Line 703: 1808,1326 -> OK
Line 704: 84,583 -> OK
Line 705: 1806,1224 -> OK
Line 706: 104,471 -> OK
Line 707: 1778,1298 -> OK
Line 708: 1312,1286 -> OK
Line 709: 1252,949 -> OK
Line 710: 568,1354 -> OK
Line 711: 1794,805 -> OK
Line 712: 568,437 -> OK
Line 713: 286,845 -> OK
Line 714: 1790,1272 -> OK
Line 715: 1024,958 -> OK
Line 716: 628,898 -> OK
Line 717: 1782,1383 -> OK
Line 718: 1802,1275 -> OK
Line 719: 1540,1175 -> OK
Line 720: 62,786 -> OK
Line 721: 1594,1465 -> OK
Line 722: 1782,1124 -> OK
Line 723: 78,1354 -> OK
Line 724: 90,427 -> OK
Line 725: 102,600 -> OK
Line 726: 1312,1375 -> OK
Line 727: 286,428 -> OK
Line 728: 74,829 -> OK
Line 729: 98,1101 -> OK
Line 730: 1594,1298 -> OK
Line 731: 340,416 -> OK
Line 732: 74,670 -> OK
Line 733: 68,599 -> OK
Line 734: 108,424 -> OK
Line 735: 340,1433 -> OK
Line 736: 1818,1326 -> OK
Line 737: 80,1415 -> OK
Line 738: 1794,1270 -> OK
Line 739: 1814,666 -> OK
Line 740: 910,845 -> OK
Line 741: 1198,1296 -> OK
Line 742: 1800,749 -> OK
Line 743: 92,471 -> OK
Line 744: 1540,1240 -> OK
Line 745: 1794,674 -> OK
Line 746: 1794,984 -> OK
Line 747: 1800,1232 -> OK
Line 748: 86,423 -> OK
Line 749: 286,650 -> OK
Line 750: 80,412 -> OK
Line 751: 1252,1240 -> OK
Line 752: 98,1016 -> OK
Line 753: 1794,1300 -> OK
Line 754: 682,616 -> OK
Line 755: 1800,1270 -> OK
Line 756: 286,1457 -> OK
Line 757: 98,1045 -> OK
Line 758: 1818,1462 -> OK
Line 759: 1794,1454 -> OK
Line 760: 66,607 -> OK
Line 761: 1812,1151 -> OK
Line 762: 1788,1128 -> OK
Line 763: 1808,1244 -> OK
Line 764: 84,440 -> OK
Line 765: 72,608 -> OK
Line 766: 514,440 -> OK
Line 767: 104,483 -> OK
Line 768: 74,1268 -> OK
Line 769: 96,1095 -> OK
Line 770: 1788,1457 -> OK
Line 771: 1806,1274 -> OK
Line 772: 80,587 -> OK
Line 773: 1790,763 -> OK
Line 774: 84,584 -> OK
Line 775: 1800,1272 -> OK
Line 776: 1802,1240 -> OK
Line 777: 568,711 -> OK
Line 778: 1778,829 -> OK
Line 779: 104,599 -> OK
Line 780: 98,754 -> OK
Line 781: 1366,1240 -> OK
Line 782: 78,1453 -> OK
Line 783: 856,1212 -> OK
Line 784: 1594,1041 -> OK
Line 785: 68,1057 -> OK
Line 786: 1776,1346 -> OK
Line 787: 66,1119 -> OK
Line 788: 74,467 -> OK
Line 789: 1806,1016 -> OK
Line 790: 1784,1387 -> OK
Line 791: 1776,463 -> OK
Line 792: 628,598 -> OK
Line 793: 856,658 -> OK
Line 794: 1198,532 -> OK
Line 795: 856,778 -> OK
Line 796: 1312,1296 -> OK
Line 797: 108,491 -> OK
Line 798: 628,463 -> OK
Line 799: 1772,817 -> OK
Line 800: 74,445 -> OK
Line 801: 1198,996 -> OK
Line 802: 1790,1299 -> OK
Line 803: 1540,938 -> OK
Line 804: 72,596 -> OK
Line 805: 1252,1147 -> OK
Line 806: 80,825 -> OK
Line 807: 1594,1435 -> OK
Line 808: 104,594 -> OK
Line 809: 74,898 -> OK
Line 810: 286,757 -> OK
Line 811: 1784,1433 -> OK
Line 812: 1788,1049 -> OK
Line 813: 102,936 -> OK
Line 814: 1784,1458 -> OK
Line 815: 1252,984 -> OK
Line 816: 568,463 -> OK
Line 817: 86,670 -> OK
Line 818: 86,1391 -> OK
Line 819: 1198,946 -> OK
Line 820: 682,587 -> OK
Line 821: 1540,436 -> OK
Line 822: 66,503 -> OK
Line 823: 1252,1274 -> OK
Line 824: 1794,1330 -> OK
Line 825: 1312,1271 -> OK
Line 826: 1788,925 -> OK
Line 827: 68,594 -> OK
Line 828: 1788,1453 -> OK
Line 829: 970,984 -> OK
Line 830: 1808,1232 -> OK
Line 831: 1594,691 -> OK
Line 832: 96,1449 -> OK
Line 833: 92,785 -> OK
Line 834: 568,952 -> OK
Line 835: 1808,1212 -> OK
Line 836: 68,727 -> OK
Line 837: 1806,1147 -> OK
Line 838: 104,1295 -> OK
Line 839: 1252,1008 -> OK
Line 840: 1794,1358 -> OK
Line 841: 910,1053 -> OK
Line 842: 1790,956 -> OK
Line 843: 90,608 -> OK
Line 844: 1594,556 -> OK
Line 845: 96,757 -> OK
Line 846: 1594,1326 -> OK
Line 847: 856,940 -> OK
Line 848: 1198,1093 -> OK
Line 849: 856,984 -> OK
Line 850: 514,437 -> OK
Line 851: 98,1300 -> OK
Line 852: 72,944 -> OK
Line 853: 340,532 -> OK
Line 854: 92,524 -> OK
Line 855: 1198,1128 -> OK
Line 856: 92,1244 -> OK
Line 857: 1366,1470 -> OK
Line 858: 1800,1183 -> OK
Line 859: 286,445 -> OK
Line 860: 1818,1387 -> OK
Line 861: 1818,1294 -> OK
Line 862: 628,1093 -> OK
Line 863: 78,777 -> OK
Line 864: 98,870 -> OK
Line 865: 66,412 -> OK
Line 866: 1540,1466 -> OK
Line 867: 1778,1103 -> OK
Line 868: 74,444 -> OK
Line 869: 104,608 -> OK
Line 870: 1794,1459 -> OK
Line 871: 628,444 -> OK
Line 872: 1796,1300 -> OK
Line 873: 1024,928 -> OK
Line 874: 856,952 -> OK
Line 875: 1024,779 -> OK
Line 876: 84,1107 -> OK
